ID,Name EN,Name DE,Name FR,Name IT,Description,Role List,Quote,Colour,Alternative Description,Alternative Name,Image ID,Keyword
CH_001,Alice,Alice,Alice,Alice,"Alice is a young English girl. She is the main protagonist of Alice’s Adventures in Wonderland and Through the Looking-Glass and What Alice Found There. She is a curious, imaginative, and bold young girl who finds herself in bizarre, dreamlike worlds filled with nonsense and eccentric characters.

Alice is a seven-year-old girl in Alice’s Adventures in Wonderland and slightly older in Through the Looking-Glass.
She follows the White Rabbit down a rabbit hole, leading her into Wonderland, where she experiences strange adventures and meets absurd characters.
In the Looking-Glass world, she plays through a giant chess game, moving from pawn to queen.

The beautiful pictures of Alice, drawn by John Tenniel, were inspired by Mary Hilton Badcock, the daughter of the Dean of Ripon. Although she was suggested as a model, it's not clear if Tenniel fully took this suggestion. (source: alice-in-wonderland.net)",R_01,Curiouser and curiouser!,,"In the digital wonderland of DaSCHland, Alice is portrayed as a young, curious explorer, navigating a world where data and reality merge seamlessly. 
Her character embodies the spirit of inquiry and adaptability, always ready to engage with the shifting landscapes and eclectic characters of DaSCHland. 
With her bright, inquisitive mind, she delves into each encounter, whether it's solving riddles with the White Queen, dancing at a bizarre banquet, or decoding the peculiar logic of Humpty Dumpty. 
Alice's journey through DaSCHland highlights her growth from mere curiosity to a deeper understanding of how technology can bring literary worlds to life, showcasing her as a bridge between classic tales and modern digital exploration.",Alice,"I_003, I_004, I_005, I_006, I_007, I_008, I_009, I_010, I_011, I_012, I_014, I_015, I_021, I_022, I_023, I_025, I_029, I_030, I_032, I_034, I_035, I_040, I_042, I_043, I_045, I_046, I_047, I_049, I_052, I_053, I_055, I_056, I_060, I_061, I_066, I_067, I_068, I_070, I_071, I_072, I_076, I_077, I_078, I_079, I_080, I_081, I_082, I_084, I_085, I_086, I_087, I_089, I_090, I_091, I_092","Adventure, Journey, Exploration, Identity, Personal Growth, Transformation, Surrealism, Imagination, Contradiction, Logic, Paradoxes, Wordplay, Wisdom, Reflection"
CH_002,White Rabbit,weißes Kaninchen,Lapin blanc,Coniglio bianco,"The White Rabbit is a nervous, hurried character who serves as Alice’s initial guide into Wonderland.
He is first seen checking his pocket watch and exclaiming, “Oh dear! Oh dear! I shall be late!” before disappearing down the rabbit hole.
He works as a servant for the Queen of Hearts and is terrified of her temper.
He mistakes Alice for his housemaid, Mary Ann, in Chapter 4 and panics when she grows giant inside his house.

The White Rabbit is always late, which is a nod to Oxford time. At Oxford, especially at Christ Church, where Carroll used to teach, events often start five minutes after the scheduled hour. (source: alice-in-wonderland.net)",R_01,Oh dear! Oh dear! I shall be too late!,,"In DaSCHland, RabbitIT embodies a reimagined version of the classic White Rabbit from ""Alice in Wonderland."" This character merges the traditional traits of urgency and meticulous timing with advanced technological features. RabbitIT, as Alice's digital guide, is integral to navigating the complex and layered world of DaSCHland. Equipped with AI-driven capabilities, RabbitIT assists Alice by providing real-time data, historical insights, and logistical support throughout her adventures. His appearance retains the iconic elements—such as the waistcoat and pocket watch—but these are enhanced with digital displays and interfaces that reflect his role as a guide within a sophisticated, data-rich environment. RabbitIT not only leads Alice through various digital landscapes but also ensures she engages deeply with the literary worlds recreated and stored within the DaSCH repository, making him a pivotal character in blending classic literature with modern technology.",RabbIT,"I_001, I_002, I_006, I_037, I_012","Anxiety, Time, Servitude, Journey, Transformation, Imagination, Surrealism, Paradoxes"
CH_003,Caterpillar,Raupe,Chenille,Bruco,"The Caterpillar is a calm, philosophical, and slightly rude blue creature who smokes a hookah while speaking with Alice.
He questions Alice’s identity, repeatedly asking, “Who are you?”, which confuses her.
He gives cryptic advice, telling Alice that eating different parts of a mushroom will make her grow or shrink.

The text describes the Caterpillar as blue ('a large blue caterpillar').",R_01,Who are YOU ? ,,"In the context of DaSCHland, the Caterpillar character is reimagined with a digital twist, embodying both wisdom and a connection to the historical data within the DaSCH repository. This version of the Caterpillar maintains his iconic thoughtful and philosophical demeanor, often found lounging on a mushroom, but here the mushroom also serves as an interactive data terminal that displays various texts and historical documents relevant to Alice’s queries and the Caterpillar’s wise teachings.

The Caterpillar in DaSCHland uses his deep knowledge, derived from vast literary and historical databases, to challenge and guide Alice through complex philosophical debates and puzzles. His dialogue with Alice often includes interactive elements, such as visual data projections from his mushroom, making each interaction not only a conversation but a visually engaging learning experience. This character retains his calm, contemplative nature and his ability to transform—signifying not only physical change but also the transformative power of knowledge and digital technology in DaSCHland.",Cyberpillar,I_015,"Identity, Personal Growth, Wisdom, Reflection, Transformation, Surrealism, Imagination"
CH_004,Mad Hatter,verrückter Hutmacher,Chapelier fou,Cappellaio Matto,"The Mad Hatter is a tea-obsessed, eccentric character who hosts the Mad Tea Party with the March Hare and the Dormouse.
He is called “mad” because Time has punished him by stopping time at 6 o’clock, meaning it is always tea-time for him.
He loves riddles and wordplay, famously asking Alice: “Why is a raven like a writing desk?”—a riddle with no real answer.
He appears again at the trial of the Knave of Hearts, where he nervously testifies before the Queen of Hearts.

In 'Through the Looking-Glass', the Hatter returns in the form of the Anglo-Saxon messenger 'Hatta'.

Contrary to popular belief, Lewis Carroll never referred to the Hatter as 'the Mad Hatter' in the story. He simply called him 'the Hatter'.
The phrase 'mad as a hatter' was common in Carroll's time, probably because hatters actually did go mad, as the mercury they used sometimes gave them mercury poisoning. (source: alice-in-wonderland.net)",R_01,Why is a raven like a writing-desk?,,"In DaSCHland, the Mad Hatter transforms into an intriguing digital persona, blending his traditional eccentricity and whimsical charm with advanced technological attributes. He hosts the famed tea parties, which in this digital realm are dynamic simulations, where each cup of tea and piece of cake is embedded with historical anecdotes or literary quotes that appear as holographic texts above the table. The Mad Hatter in this virtual world is not just a bringer of nonsensical humor; he also serves as a conduit for exploring the rich tapestry of literature and history stored in the DaSCH repository. His hat, iconic and oversized, functions as an interface that projects various informational displays, engaging Alice and other guests in riddles and puzzles that draw from a diverse array of cultural and historical contexts.

His character retains the unpredictable nature known from the original tales but is enhanced with the ability to manipulate his environment digitally, making each interaction with him a surprise and a new opportunity for Alice to learn something unique about the virtual world she navigates.",The Archival Madcap,"I_025, I_026, I_038, I_039, I_069, I_077, I_027 ","Madness, Confusion, Time, Surrealism, Paradoxes, Wordplay, Irony, Imagination"
CH_005,Cheshire Cat,Grinzekatze,Chat du Cheshire,Stregatto,"The Cheshire Cat is a mischievous, grinning cat who gives philosophical advice to Alice.
He has the ability to disappear and reappear at will, sometimes leaving only his grin behind.
He guides Alice, explaining the madness of Wonderland and telling her “We’re all mad here.”
He later appears at the Queen’s croquet game, where his floating head confuses the King and Queen of Hearts.
He serves as a guide for Alice, offering riddles and cryptic advice but never direct answers.

The reason for Carroll naming this character 'Cheshire Cat' is unclear: 
'To grin like a Cheshire Cat' was a common phrase in Carroll's day. 
It may have originated from a sign painter in Cheshire who painted grinning lions on the sign-boards of inns in the area.
Another source is the 'Alice Window' in Christ Church, Oxford, where you can see three grinning animals at the top of the Liddell's family arms. 
Cheshire cheeses were also once molded in the shape of a grinning cat. (source: alice-in-wonderland.net)",R_01,We’re all mad here. I’m mad. You’re mad.,,"In the imaginative world of DaSCHland, the Cheshire Cat stands out as a particularly fascinating digital entity. He embodies the quintessential mystery and wit of his character, now augmented with the capability to appear and disappear at will, leaving behind only his iconic grin, which serves as a user interface for accessing various data points within the DaSCH repository. The Cheshire Cat's interactions with Alice are both enlightening and cryptic, guiding her through DaSCHland with riddles and philosophical insights that challenge her perceptions. His ability to phase in and out of digital visibility symbolizes the fluid nature of information in the digital age, where data can be both omnipresent and elusive.

This version of the Cheshire Cat not only serves as a guide through the labyrinthine digital landscape but also as a reminder of the transformative power of technology in reshaping narratives and character interactions within this virtual world. His presence is a constant reminder of the enigmatic and ever-changing nature of the digital realm Alice explores.",The Quantum Cat,"I_021, I_023, I_024, I_031","Wisdom, Mystery, Reflection, Madness, Irony, Surrealism, Imagination, Paradoxes"
CH_006,Queen of Hearts,Herzkönigin,Reine de cœur,Regina di cuori,"The Queen of Hearts is the ruler of Wonderland, known for her explosive temper and frequent orders of “Off with their heads!”
She is tyrannical, irrational, and quick to anger, though her executions are never actually carried out (likely because the King of Hearts quietly pardons everyone).
She hosts a chaotic croquet game, where flamingos are used as mallets and hedgehogs as balls.

Carroll wrote the following about the Queen of Hearts:
""I pictured the Queen of Hearts as a sort of embodiment of ungovernable passion – a blind and aimless Fury."" (source: alice-in-wonderland.net)",R_01,Off with his head!,,"In DaSCHland, the Queen of Hearts is reenvisioned as a formidable digital ruler, embodying her classic characteristics of authority and quick temper, but with a modern twist. In this virtual world, she presides over the digital kingdom with a strict adherence to the rules and protocols encoded within the DaSCH repository.

The Queen’s realm in DaSCHland is a place where order intersects with the whimsical laws of Wonderland, making her both a guardian of traditional narratives and an enforcer of the digital world's unique logic. Her commands and decrees can instantly alter the landscape or the behavior of other characters, demonstrating her control over the digital environment.

Her interactions with Alice are intense and pivotal, offering dramatic encounters that highlight the power dynamics within DaSCHland. The Queen of Hearts in this setting isn't just a character from a story; she is a dynamic representation of control and authority in a world where data and reality intertwine seamlessly.",The Data Queen,"I_001, I_029","Authority, Tyranny, Violence, Anger, Judgment, Inverted Justice, Absurdity, Chaos, Madness"
CH_007,March Hare,Märzhasen,Lièvre de mars,Lepre Marzolina,"The March Hare is a wild, energetic, and slightly mad character who hosts the Mad Tea Party along with the Mad Hatter and the Dormouse.
He is always celebrating “tea-time” because time has stopped for him as a result of an argument the Hatter had with Time.
He takes part in riddles, nonsensical conversations, and interruptions, frustrating Alice with his lack of logic.

He is named Haigha in the second book.",R_02,Have some wine,,"The Cheshire Cat's interactions with Alice are both enlightening and cryptic, guiding her through DaSCHland with riddles and philosophical insights that challenge her perceptions. His ability to phase in and out of digital visibility symbolizes the fluid nature of information in the digital age, where data can be both omnipresent and elusive.",The Real-Time Processor,"I_025, I_027, I_076, I_077 ","Madness, Chaos, Confusion, Surrealism, Irony, Imagination"
CH_008,Duchess,Herzogin,Duchesse,Duchessa,"The Duchess is an eccentric, ugly, and unpredictable noblewoman who lives in a chaotic house filled with pepper that makes everyone sneeze.
She has a violent cook, an abused baby (who later turns into a pig), and a tendency to spout moral lessons in a forced, nonsensical way.
She later reappears, acting overly friendly toward Alice, contradicting her earlier harsh behavior.",R_02,"Everything’s got a moral, if only you can find it",,"
In the virtual realm of DaSCHland, the Duchess takes on a multifaceted digital persona that embodies both the harshness and unexpected warmth she displays in the original tales. This Duchess is intricately programmed to interact with Alice using a mix of sharp remarks and philosophical musings, enhanced by the digital environment's capability to integrate complex dialogue and interactions.

The Duchess in DaSCHland oversees a segment of the digital landscape that mirrors her eclectic and somewhat chaotic household, where the laws of physics and conventional logic are frequently bent. Her interactions often include lessons about manners and morality, albeit delivered in a convoluted manner that challenges Alice to think critically about the rules and norms of both the real and digital worlds.

Her character is not only a caretaker of peculiar digital creatures but also serves as a critical voice in the narrative, pushing Alice to question and understand the underlying structures of DaSCHland. The Duchess’s presence is marked by her ability to shift from volatile to caring in moments, making her a complex and compelling figure in the digital adventure.",The Algorythmic Duchess,"I_021, I_032","Domesticity, Absurdity, Violence, Authority, Madness, Chaos"
CH_009,Mock Turtle,Schildkrötensupperich,Simili Tortue,Finta tartaruga,"The Mock Turtle is a sad and melancholic creature who constantly sighs and reminisces about his past.
He was once a real turtle and attended “sea school” under a master called Tortoise (because he “taught us”).
He is known for his nonsensical stories and puns, particularly about his strange school subjects, like Reeling and Writhing instead of Reading and Writing.
He and the Gryphon teach Alice the Lobster Quadrille, a bizarre underwater dance.",R_02,"When we were little, we went to school in the sea. The master was an old turtle—we used to call him Tortoise—""",,This version of the Cheshire Cat not only serves as a guide through the labyrinthine digital landscape but also as a reminder of the transformative power of technology in reshaping narratives and character interactions within this virtual world. His presence is a constant reminder of the enigmatic and ever-changing nature of the digital realm Alice explores.,Mock-up Data,"I_034, I_035","Reflection, Absurdity, Irony, Surrealism, Imagination, Animals"
CH_010,Gryphon,Mücke,Gryphon,Grifone,"The Gryphon is a mythical creature with the body of a lion and the wings and head of an eagle.
He serves as a guide to Alice, taking her to meet the Mock Turtle and listening to his sorrowful tales.
Unlike many Wonderland characters, he is bossy but not hostile, often rushing the Mock Turtle through his stories.
He introduces Alice to the Lobster Quadrille, a strange dance performed under the sea.",R_02,"""It's all his fancy, that: he hasn't got no sorrow, you know. Come on!""
",,"In the digitally-rendered world of DaSCHland, the Gryphon emerges as a majestic and authoritative creature, blending elements of his mythological origins with modern digital functionalities. He serves as a guardian and guide, helping Alice navigate the more complex and potentially perilous parts of the digital landscape with wisdom and a stern demeanor.

The Gryphon in DaSCHland is intricately designed, combining his classical eagle-and-lion form with enhancements that reflect his role within the digital environment. He possesses the ability to access and project holographic histories or legendary tales from the DaSCH repository, using his wings and talons as interactive tools that help illustrate these stories to Alice.

His interactions with Alice are educational and protective, ensuring that she not only enjoys her journey through DaSCHland but also gains deeper insights into the literary and mythical foundations that the realm is built upon. The Gryphon’s character is a bridge between the ancient and the digital, embodying the wisdom of the old and the possibilities of the new.",System Protector,"I_033, I_034, I_035","Animals, Wisdom, Reflection, Imagination, Surrealism"
CH_011,Red Queen,Rote Königin,Reine rouge,Regina rossa,"The Red Queen is a chess piece on the Red side, known for being strict, commanding, and highly logical.
She first meets Alice in Chapter 2 and explains the rules of the Looking-Glass world, where Alice must move like a pawn to reach the eighth square and become a queen.
She later appears at Alice’s coronation banquet, where the event descends into chaos.

It is possible that the Red Queen was modelled after the governess for the Liddell children, Miss Prickett, who was known as 'Pricks'. (source: alice-in-wonderland.net)",R_01,,,"In the digital wonderland of DaSCHland, the Red Queen is reimagined as a dynamic and strategic figure, embodying a blend of leadership and urgency. Unlike the traditional portrayal of her character as simply domineering, this Red Queen is more nuanced, using her quick-paced and decisive nature to manage and oversee complex digital operations within the realm.

The Red Queen in DaSCHland utilizes advanced data analytics and management tools that are visually represented by the constant motion of her character—mirroring her motif of ""running to stay in place."" Her realm is one where order and efficiency reign, and she is often seen orchestrating the flow of information and digital events with precision and command.

Her interactions with Alice are marked by challenges that test Alice's ability to think and react quickly, embodying the Red Queen's belief in the necessity of constant movement and adaptation in a rapidly changing digital environment. This portrayal highlights her as not just a ruler but a symbol of perpetual progress and the relentless pace of technological and data-driven environments.",The Digi-Queen,"I_053, I_055, I_068, I_085, I_086, I_090","Authority, Rules, Tyranny, Judgment, Absurdity, Imagination, Madness, Chaos"
CH_012,Humpty Dumpty,Humpty Dumpty,Humpty Dumpty,Humpty Dumpty,"Humpty Dumpty is a large, egg-shaped character sitting on a wall when Alice meets him.
He is famously known from the nursery rhyme:
He is arrogant and boastful, constantly correcting Alice and claiming he can make words mean whatever he wants.
He explains the nonsense words from “Jabberwocky” to Alice, adding to the theme of language and meaning.",R_02,"""Humpty Dumpty sat on a wall,
Humpty Dumpty had a great fall.
All the King’s horses and all the King’s men
Couldn’t put Humpty together again.""",,"
In DaSCHland, Humpty Dumpty is crafted as a figure of intellectual whimsy, combining his well-known penchant for wordplay with digital enhancements that allow him to manipulate language and meanings in novel ways. This digital Humpty Dumpty is perched on a high wall, symbolizing his lofty ideas and the precarious nature of his assertions.

This version of Humpty Dumpty is equipped with linguistic databases from the DaSCH repository, enabling him to provide Alice with elaborate explanations and definitions that twist and stretch words beyond their conventional meanings. His digital interface allows him to project visual representations of his wordplay, turning abstract concepts into tangible, manipulable objects in the virtual environment.

His interactions with Alice are cerebral and engaging, challenging her understanding of language and logic. Humpty Dumpty’s role in DaSCHland is not only to entertain but also to enlighten, serving as a quirky mentor who encourages Alice to explore the depths of linguistic creativity and the flexibility of digital communication. This character retains his iconic vulnerability, with the ever-present risk of falling off his wall, symbolizing the delicate balance between knowledge and confusion in the expansive digital world.",Fragmented Data,"I_072, I_074","Logic, Wordplay, Irony, Paradoxes, Absurdity, Surrealism, Imagination"
CH_013,White Knight,Weisser Ritter,Cavalier blanc,Cavaliere bianco,"The White Knight is a chess piece from the White side who rescues Alice from the Red Knight, following the rules of chess.
He is depicted as kind, gentle, and absent-minded, constantly falling off his horse due to his clumsiness.
He carries odd inventions, such as a beehive on a stick and anklets to keep sharks away, showcasing his quirky creativity.
Before Alice moves on to become a Queen, he escorts her to the last square, saying a poetic farewell.

The White Knight is often seen as a self-portrait of Lewis Carroll, representing the gentle, eccentric dreamer who helps Alice along her journey.",R_02,,,"
In the imaginative universe of DaSCHland, the White Knight is transformed into a quirky yet noble figure who embodies the fusion of chivalric ideals with technological innovation. He is designed as a tinkerer and inventor, with his armor and steed adorned with various whimsical gadgets and gizmos that he has crafted from the digital resources available within the DaSCH repository.

This White Knight retains his traditional clumsiness and good-hearted nature, but his inventions are digitally enhanced, offering practical (and sometimes impractical) solutions during his adventures with Alice. His armor, instead of merely serving as protection, is integrated with interactive displays and tools that assist him and Alice as they navigate through DaSCHland.

His interactions with Alice are filled with gentle guidance and eccentric inventiveness. He serves not only as a protector on her journey but also as a mentor in creativity and resilience, often providing comic relief with his inventions that sometimes work in unexpected ways. The White Knight’s character in DaSCHland symbolizes the bridge between old-world chivalry and modern digital creativity, making every encounter with him both educational and entertaining.",Encryption Key,"I_043, I_050, I_080, I_081, I_082, I_083","Adventure, Journey, Wisdom, Reflection, Absurdity, Imagination, Paradoxes, Wordplay"
CH_014,Mouse,Maus,Souris,Topo,"The Mouse is one of the creatures that fall into the pool of tears Alice creates when she grows too large.
It is easily offended, especially when Alice mentions her cat, Dinah, which frightens the Mouse.
To dry off, the Mouse tells a “dry” history lesson about William the Conqueror, but it is so boring that no one listens.
It participates in the Caucus Race, a nonsensical race where everyone wins.",R_02,"Sit down, all of you, and listen to me! I'll soon make you dry enough!",,"
In DaSCHland, the Mouse is depicted as a wise and articulate historian, carrying a vast repository of knowledge from the DaSCH archives. This digital incarnation of the Mouse combines its characteristic timidity with a profound intellectual depth, serving as a guide to the historical and literary contexts of Wonderland.

The Mouse in DaSCHland is often seen scurrying across digital landscapes, leaving trails of historical data and literary references that help Alice understand the intricate background of the characters and settings she encounters. Its small size belies the vast amount of information it holds, and it communicates with Alice through a series of sophisticated projections and interactive data streams that visually represent the stories it tells.

Interacting with the Mouse, Alice finds a valuable resource in piecing together the puzzles of DaSCHland. The Mouse's role is crucial for teaching her about the origins and transformations of Wonderland's inhabitants and their adventures. This character's timid yet profound demeanor makes it a unique and insightful guide, enriching Alice's journey through the layers of digital Wonderland.",Command-line Operator,"I_008, I_010","Animals, Anxiety, Absurdity, Logic, Paradoxes"
