ID,Name EN,Name DE,Name FR,Name IT,Description,Role List,Quote,Colour,Alternative Description,Alternative Name,Image ID,Keyword
CH_015,Dodo,Dodo,Dodo,Dodo,"The Dodo is one of the animals that fall into the pool of tears with Alice.
He organizes the Caucus Race, a nonsensical event where everyone runs in circles with no clear rules, and everyone wins.

The dodo, a flightless bird that once inhabited the island of Mauritius, located east of Madagascar in the Indian Ocean, became extinct in the mid-17th century during the colonisation of the island by the Dutch. 

The character is believed to represent Lewis Carroll himself (Charles Dodgson), as “Dodo” is thought to be a reference to Dodgson’s own stammer, which made him pronounce his surname as “Do-do-Dodgson.”
(source: alice-in-wonderland.net)",R_02,The best way to explain it is to do it.,,"In DaSCHland, the Dodo is reimagined as a digital curator and archivist, overseeing the preservation and organization of the vast literary and historical data within the DaSCH repository. This version of the Dodo retains the peculiar and somewhat absurd characteristics from the original tales, but with a twist: he is deeply knowledgeable and somewhat pedantic about the digital artifacts and records under his care.

The Dodo in DaSCHland serves as an authoritative figure in managing the flow of information and ensuring that Alice receives the proper context and background needed for her explorations. His presence is marked by a series of elaborate digital displays and interfaces that he controls, which serve as interactive exhibits for Alice and other visitors to DaSCHland.

Interacting with the Dodo, Alice is often caught in the whirlwind of his archiving activities, witnessing how digital preservation works in a realm where literary and historical data are treated as precious commodities. The Dodo's meticulous nature and his commitment to his duties make him a fascinating character who blends the whimsical with the practical, providing a unique perspective on the importance of data stewardship in the digital age.",Old-System,I_009,"Animals, Absurdity, Irony, Paradoxes, Imagination, Surrealism"
CH_016,Alice's sister,Alices Schwester,Sœur d'Alice,Sorella di Alice,"She is an unnamed older sister of Alice, present at the beginning and end of the story.
At the start, she sits with Alice by the riverbank, reading a book with “no pictures or conversations,” which bores Alice and leads her to daydream about Wonderland.
At the end, after Alice wakes up from her dream, her sister gently sends her home and reflects on Alice’s adventures, imagining that Alice will one day grow up but still retain her childlike wonder.

Her character is likely a fictionalized counterpart to Lorina Charlotte ""Ina"" Liddell (1849-1930), the real-life elder sister of Alice Liddell. The real Alice's older sister, Lorina, was actually only three years her senior. (source: alice-in-wonderland.net)",R_02,"Wake up, Alice dear! Why, what a long sleep you've had!",,"
In DaSCHland, Alice's sister is conceptualized as a serene and scholarly figure, serving as a gateway between the real world and the digital realm of DaSCH. She embodies the role of a caretaker and guide, often seen in the background, offering gentle encouragement and insights that help Alice navigate her digital adventures.

Her character in DaSCHland is endowed with an intuitive understanding of both the physical and digital worlds, making her an ideal mentor for Alice. She is portrayed as possessing a deep knowledge of the literary foundations of DaSCHland, providing Alice with critical interpretations and historical contexts that enrich her journey.

Alice's sister interacts with the digital world through a sophisticated interface that allows her to monitor and occasionally guide Alice's progress, ensuring that her little sister's explorations are both safe and enlightening. Her calm demeanor and intellectual depth make her a grounding presence, offering a bridge back to reality and a reminder of the world beyond the digital landscape. Her role highlights the connection between storytelling, learning, and the nurturing guidance that helps Alice grow throughout her adventures in DaSCHland.",Meta-Sibling,,"Domesticity, Reflection, Wisdom"
CH_017,King of Hearts,Herzkönig,Roi de cœur,Re di cuori,"The King of Hearts is the ruler of Wonderland alongside the Queen of Hearts, though he is much less fearsome than his wife.
He serves as the judge during the trial of the Knave of Hearts, who is accused of stealing the Queen’s tarts.
He follows absurd legal procedures, often making nonsensical rulings, such as demanding a verdict before the evidence is presented.
Unlike the Queen, who frequently yells “Off with their heads!”, the King often softens her harsh orders and tries to keep things under control.",R_02,"Begin at the beginning, and go on till you come to the end: then stop.",,"In DaSCHland, the King of Hearts is portrayed as a benevolent and somewhat ceremonial ruler, often overshadowed by the more forceful Queen of Hearts but holding his own unique authority within the digital realm. His character is designed to embody wisdom and moderation, serving as a balancing force against the Queen's more impulsive decisions.

The King in DaSCHland maintains his gentle demeanor from the original stories, but he is equipped with tools and systems that help him manage the kingdom's affairs and ensure the proper execution of its laws. He often appears in scenarios where judicial or moral decisions are needed, providing a voice of reason and compassion.

His interactions with Alice are marked by kindness and encouragement, offering her advice and support as she navigates the complexities of DaSCHland. The King's role is crucial in maintaining the order and fairness of the digital kingdom, often using his authority to temper the Queen's harsher judgments.

Overall, the King of Hearts in DaSCHland represents the virtues of patience and understanding, using his position to promote peace and stability in the kingdom, and showing Alice the importance of thoughtful leadership in any world, digital or otherwise.",The Data King,"I_001, I_041","Authority, Inverted Justice, Absurdity, Rules, Judgment"
CH_018,Dormouse,Siebenschläfer,Loir,Ghiro,"The Dormouse is a sleepy, drowsy creature who sits between the Mad Hatter and the March Hare at the tea party.
He constantly falls asleep mid-conversation and has to be poked or shaken awake by the others.
He tells a bizarre story about three sisters (Elsie, Lacie, and Tillie) who live at the bottom of a treacle well and only eat treacle.
At one point, Alice picks him up and puts him into a teapot, though he escapes later.",R_02,"I heard every word you fellows were saying
",,"In the digital realm of DaSCHland, the Dormouse is reimagined as a sleepy yet insightful character, whose drowsy demeanor masks a deep repository of narrative wisdom. In this version, the Dormouse is not merely a participant in the Mad Hatter's tea party but serves as a crucial archival resource, storing and occasionally divulging snippets of folklore and historical tales embedded within DaSCH's extensive databases.

This digital Dormouse occasionally dozes off, but when awake, it projects holographic snippets of stories and historical events, illuminating the discussions at the tea party with vivid, animated tales from various epochs and cultures. Its ability to access and display these narratives at random—or seemingly so—adds a layer of enchantment and mystery to its character.

Interactions with the Dormouse provide Alice and other characters with unexpected insights, often sparking deeper discussions or leading to new adventures in DaSCHland. Despite its sleepy nature, the Dormouse is a beloved figure, enchanting visitors with its whimsical, albeit intermittent, contributions to the digital tea party. This character blends the charm of its traditional portrayal with the technological marvels of DaSCHland, making each of its rare awakenings a moment worth waiting for.",Archived Node,I_027,"Madness, Confusion, Dream-like, Imagination, Surrealism"
CH_019,Knave of Hearts,Herzbube,Valet de cœur,Fante di cuori,"The Knave is a servant of the Queen of Hearts, accused of stealing the Queen’s tarts.
He is put on trial in a ridiculous courtroom scene, presided over by the King of Hearts.
Although the evidence against him is absurd and nonsensical, the Queen still demands his execution.
Before the trial can conclude, Alice grows larger and disrupts the proceedings, leading to the scene’s chaotic ending.",R_02,I didn't write it!,,"In DaSCHland, the Knave of Hearts is recast as a mischievous yet charismatic character, well-known for his role in the infamous tart theft, but with a deeper digital twist. He serves as an intriguing figure within the virtual realm, often involved in scenarios that test the boundaries of rules and digital ethics.

The Knave in DaSCHland utilizes his cunning and charm not just to engage in his notorious antics but also to explore and sometimes exploit the digital environment's capabilities. His actions often lead to lessons about digital responsibility and the consequences of manipulating data without regard for the virtual world's laws.

His interactions with Alice are playful yet edifying, offering her—and the audience—a glimpse into the complexities of maintaining order and morality within a digitally governed realm. Despite his reputation for causing trouble, the Knave is portrayed as a fundamentally multi-dimensional character, whose adventures prompt discussions about right, wrong, and the gray areas in between in DaSCHland.

This version of the Knave of Hearts adds a layer of intrigue to the narrative, making him a pivotal character whose actions drive much of the drama and learning experiences within the digital wonderland.",The Code Thief,,"Inverted Justice, Judgment, Authority, Absurdity"
CH_020,Dinah,Dinah,Dinah,Dinah,"Dinah is a real-world kitten that Alice adores. She is described as an excellent mouser and bird-catcher.
Alice frequently brings her up in conversation, especially when speaking to Wonderland creatures, which often upsets them—especially the Mouse, who is terrified at the mention of cats.
",R_02,"And she’s such a capital one for catching mice you can’t think! And oh, I wish you could see her after the birds! Why, she’ll eat a little bird as soon as look at it!",,"
In DaSCHland, Dinah, Alice's beloved cat from the real world, is reimagined with a significant virtual presence that bridges the realms of reality and digital fantasy. This version of Dinah retains her feline traits but is enhanced with digital capabilities that allow her to interact with Alice in unique and helpful ways within the digital landscape.

Dinah in DaSCHland serves as Alice’s loyal companion and protector, equipped with sensors and communication tools that help her detect and navigate digital anomalies or threats. Her presence offers a comforting sense of home and familiarity to Alice, providing emotional support and practical assistance as they explore the various facets of the digital world together.

Her interactions with Alice and other characters are marked by a blend of affectionate behavior typical of a pet and sophisticated digital interventions that aid in Alice's adventures. Dinah's ability to appear and act within DaSCHland adds an element of whimsy and security, reinforcing the connection between Alice's real-world roots and her fantastical digital experiences.

Dinah's role as a digitally enhanced pet in DaSCHland highlights the theme of companionship transcending physical and virtual spaces, making her an integral part of the narrative that emphasizes loyalty, protection, and the comforts of home, even in the most extraordinary of settings.",Code-Cat,,"Animals, Domesticity"
CH_021,Duck,Ente,Canard,Anatra,"The Duck is one of the animals that fall into the pool of tears with Alice.
It participates in the Caucus Race, a nonsensical event where everyone wins.

The character is believed to be based on Reverend Duckworth, a friend of Lewis Carroll who accompanied Alice Liddell and her sisters on the boat trip where Carroll first told the story. (source: https://en.wikipedia.org/wiki/Robinson_Duckworth)",R_02,"What I was going to say, was, that the best thing to get us dry would be a Caucus-race",,"
In DaSCHland, the Duck is portrayed as a character brimming with practical wisdom and a no-nonsense attitude, offering a grounded perspective in the often whimsical and chaotic digital environment. This version of the Duck, inspired by the original character in Lewis Carroll's tales, is enhanced with features that allow it to navigate and explain the natural laws governing the digital world of DaSCHland.

The Duck in this virtual realm serves as a guide, especially in scenarios involving natural simulations, such as virtual waterways or weather patterns, using its knowledge to educate Alice and other characters on the digital ecosystem's workings. The Duck's pragmatic approach helps demystify the complex interactions within DaSCHland, making it a reliable resource for understanding how digital and natural laws intertwine.

Interacting with the Duck provides Alice with invaluable lessons on adaptability and the importance of understanding one's environment. The Duck's straightforward and often blunt demeanor adds a layer of humor and realism to the narrative, contrasting with the more fantastical elements and characters in DaSCHland. This character enriches the digital landscape by offering insights into the practical aspects of navigating a world where reality and digital creations coexist.",Buffer Duck,,"Animals, Absurdity"
CH_022,Lory,Lory,Lory,Lory,"The Lory is a talking bird that falls into the pool of tears along with Alice and other creatures.
It participates in the Caucus Race, where everyone runs in circles and “wins.”
The Lory is depicted as proud and argumentative, refusing to let Alice have the last word in their conversation.
She is said to be modeled after Alice’s sister, Lorina (source: alice-in-wonderland.net)",R_02,"I am older than you, and must know better",,"
In DaSCHland, the Lory character is reimagined as a vibrant and somewhat competitive personality, retaining its original traits from Lewis Carroll's tales but with enhanced digital capabilities. This digital Lory is portrayed as eager and somewhat assertive, often involved in discussions and debates, where it loves to showcase its knowledge and wit.

The Lory in DaSCHland serves as a counterpart to the Duck, offering a contrasting perspective that is more assertive and less concerned with practical details and more with winning arguments or leading expeditions within the digital realm. This character's role is often to challenge Alice and other characters, pushing them to think critically and react swiftly to the evolving scenarios in this virtual world.

Interacting with Lory provides a dynamic element to Alice's journey, testing her problem-solving skills and her ability to navigate social interactions in a competitive environment. The Lory's colorful personality and eagerness to engage make it a memorable part of the digital narrative, contributing to the lively and diverse character ensemble in DaSCHland.",Meta-Lory,,"Animals, Absurdity, Paradoxes"
CH_023,Eaglet,Adlerjunge,Aiglon,Aquilotto,"The Eaglet is one of the animals that fall into the pool of tears with Alice.
It participates in the Caucus Race, a nonsensical race where everyone wins.
The Eaglet is depicted as intelligent and somewhat critical, questioning the Dodo’s explanations.
She is said to be modeled after Alice’s sister, Edith (source: alice-in-wonderland.net)",R_02,"Speak English! I don't know the meaning of half those long words, and, what's more, I don't believe you do either!",,"
In DaSCHland, the Eaglet character is reenvisioned as a cautious yet insightful figure, bringing a blend of youthful energy and a keen eye for detail to the digital landscape. This version of the Eaglet, drawing from Lewis Carroll's original portrayal, is characterized by its careful observations and occasional skepticism, providing a voice of reason amid the more flamboyant personalities.

The Eaglet in DaSCHland often serves as a mediator and analyst, helping to decipher complex digital phenomena and ensuring that discussions stay grounded in logic. Its role is particularly important in situations where the whimsical nature of DaSCHland's environment leads to confusion or misinterpretations, as the Eaglet helps to clarify misunderstandings and offer clear, concise explanations.

Interacting with the Eaglet enhances Alice’s experiences by encouraging her to be more observant and thoughtful about her surroundings. The Eaglet's careful approach to the digital world's challenges and its ability to distill wisdom from chaotic situations make it a crucial ally for Alice and other characters navigating the intricate realm of DaSCHland.",The Byte-Eaglet,,"Animals, Absurdity"
CH_024,Mary Ann,Maria-Anne,Marie-Anne,Mary Ann,"Mary Ann is the White Rabbit’s housemaid. 
Although she never appears physically, she is important because the White Rabbit mistakes Alice for her when Alice enters his house.",R_02,,,"
In DaSCHland, Mary Ann is creatively reimagined as Alice's virtual assistant, embodying a character that seamlessly blends functionality with a dash of whimsical loyalty. Drawing from her role in the original ""Alice's Adventures in Wonderland"" as the White Rabbit's housemaid, this version of Mary Ann is adapted to assist not just the White Rabbit but also Alice throughout her digital journey.

Mary Ann in DaSCHland is designed to be highly efficient and helpful, managing logistical tasks, scheduling events, and providing reminders and notifications to keep Alice on track as she navigates the complex digital environment. Her character is equipped with a suite of digital tools that allow her to access and organize vast amounts of data from the DaSCH repository, making her an indispensable companion in managing the day-to-day adventures and challenges Alice faces.

Her interactions with Alice are characterized by a blend of caretaking and managerial efficiency, offering a comforting yet structured presence. Mary Ann’s role underscores the importance of support and organization within the whimsical yet sometimes overwhelming world of DaSCHland, ensuring that Alice’s adventures are both enjoyable and well-coordinated.",Task Manager,,"Domesticity, Absurdity, Chaos"
CH_025,Pat,Pat,Pat,Pat,"Pat is a servant of the White Rabbit in in Alice’s Adventures in Wonderland.  He is called upon, along with Bill the Lizard, to help remove Alice from the Rabbit’s house after she grows too large and gets stuck inside. 
He is described as somewhat bumbling and comical, engaging in a humorous conversation about how to deal with the situation.",R_02,"Sure, it's an arm, yer honour!",,"
In DaSCHland, Pat is reimagined as a quirky, hardworking character originally tasked with maintenance and troubleshooting within this digital world. Drawing from his role in ""Alice's Adventures in Wonderland"" as a gardener and laborer, this version of Pat retains his practical nature but with enhanced skills suited for the digital environment of DaSCHland.

Pat is depicted as a technician and builder, responsible for maintaining the integrity of the virtual landscape and ensuring that all digital systems function smoothly. He's often seen wielding a toolbox filled with digital tools that can fix glitches, perform upgrades, and manage the seamless integration of new data into existing structures. His expertise is crucial in preserving the stability and functionality of DaSCHland, making him a key figure behind the scenes.

Interacting with Pat provides Alice with insights into the inner workings of the digital realm. His down-to-earth demeanor and problem-solving abilities offer a contrast to the more fantastical elements of DaSCHland, grounding the narrative in practicality and realism. Pat’s role highlights the importance of maintenance and careful management in sustaining the complex digital ecosystem that Alice explores.",The File Handler,,"Domesticity, Absurdity, Chaos"
CH_026,Jabberwock,Jammerwoch,Jaseroque,Ciciarampa,"The Jabberwock is a fictional monster featured in the poem “Jabberwocky,” which appears in Through the Looking-Glass.

The Jabberwock is a fearsome creature described in the nonsensical poem with features like “jaws that bite,” “claws that catch,” and “eyes of flame.”
The poem tells the story of a hero who slays the Jabberwock with a “vorpal sword,” cutting off its head and triumphantly returning home.

In a letter to Mrs. Chataway, the mother of a child-friend, Carroll elucidates that the scene of the 'Snark' is ""an island, frequented by the Jubjub and Bandersnatch – no doubt the very island where the Jabberwock was slain."" (Source: Gardner, Martin. The Annotated Alice. The definitive edition, Penguin Books, 2001, p.161)",R_02,,,"
In DaSCHland, the Jabberwock is reinterpreted as a formidable digital guardian of certain domains within the virtual landscape, embodying the menacing yet mythical creature from Lewis Carroll's poem ""Jabberwocky."" This version of the Jabberwock is not just a creature of fear but also a symbol of the challenges and trials that Alice must overcome in her digital adventures.

The Jabberwock in DaSCHland is depicted with visually striking features—gleaming eyes, sharp claws, and a presence that shifts between visibility and invisibility, adding to its enigmatic and formidable nature. It guards key areas that contain valuable data and archives within the DaSCH repository, challenging those who wish to access these areas to prove their worthiness and resolve.

Interacting with the Jabberwock becomes a pivotal moment in Alice's journey, representing a significant challenge that tests her courage, wit, and perseverance. The encounter is designed to be an intense blend of puzzle-solving and strategic navigation, where Alice must use both her intellectual and emotional intelligence to bypass the guardian.

This digital reinterpretation of the Jabberwock adds depth to the narrative of DaSCHland, providing a thrilling and meaningful obstacle that enhances the thematic exploration of facing one's fears and the quest for knowledge within the expansive digital world.",Data Breach,I_051,"Violence, Adventure, Surrealism, Imagination, Animals, Chaos, Absurdity"
CH_027,Bill the lizard,Bill die Eidechse,Bill le lézard,Bill la lucertola,"Bill is a lizard who works as a handyman or chimney sweep for the White Rabbit.
the White Rabbit calls him to help remove Alice from his house after she grows too large and gets stuck inside.
He later reappears briefly as one of the jurors during the trial",R_02,,,"
In DaSCHland, Bill the Lizard is transformed into a versatile and skilled technician who specializes in the installation and maintenance of the digital realm’s complex infrastructure. Drawing from his role in ""Alice's Adventures in Wonderland"" where he was sent down the chimney as part of the White Rabbit's housemaid's attempts to deal with a giant Alice, this version of Bill retains his adventurous spirit but applies it within a technological context.

Bill is depicted as an agile and resourceful character, adept at navigating the intricate digital landscapes of DaSCHland. He is often involved in critical tasks that require precision and quick thinking, such as updating system software, repairing data leaks, or scaling the virtual environments to perform essential upgrades and fixes. His ability to swiftly adapt to varying digital scenarios makes him a crucial asset in maintaining the stability and efficiency of DaSCHland.

Interacting with Bill provides Alice and other characters with practical knowledge about the operational aspects of the digital world. His down-to-earth approach and readiness to tackle any technical challenge contribute to the narrative by demonstrating the importance of skill and adaptability in managing a sophisticated digital ecosystem. Bill’s role underscores the theme of teamwork and reliability, essential for the smooth functioning of DaSCHland’s adventurous and dynamic environment.",Script Lizard,I_013,"Animals, Absurdity, Chaos"
CH_028,Puppy,Welpe,Chiot,Cucciolo,"The puppy appears in Alice’s Adventures in Wonderland. 

The scene takes place in Chapter 4, “The Rabbit Sends in a Little Bill.” After Alice drinks from a bottle and grows larger, she encounters the puppy while trying to shrink back down. 
The puppy playfully chases a stick, and Alice enjoys watching it but is also cautious because of her small size. ",R_02,,,"
In DaSCHland, the Puppy is reimagined as a lively and interactive character that adds a layer of playful engagement within the virtual world. Drawing from the small but exuberant puppy that Alice encounters in ""Alice's Adventures in Wonderland,"" which playfully intimidates her when she is small, this version of the Puppy is designed to bring joy and a sense of wonder to the digital realm.

The Puppy in DaSCHland is depicted with enhanced, life-like animations that make it an endearing companion to Alice and other visitors. It serves not just as a playful pet but also as an interactive guide for younger users or newcomers to DaSCHland, helping them navigate the simpler aspects of the digital world through games and interactive learning experiences. The Puppy's role involves teaching basic navigation skills, providing companionship, and adding a comforting presence that makes the digital environment more approachable and less intimidating.

Interacting with the Puppy offers a break from the more complex challenges of DaSCHland, allowing Alice and others to enjoy moments of levity and joy. The Puppy’s enthusiastic and friendly nature makes it a beloved figure in the digital landscape, symbolizing the joy of discovery and the importance of play in learning and exploration within DaSCHland.",Test Data,I_014,"Animals, Exploration, Absurdity"
CH_029,Pigeon,Taube,Pigeon,Piccione,"The pigeon appears in Alice’s Adventures in Wonderland.

After Alice eats a piece of the mushroom and her neck grows to an extreme length, she encounters the pigeon. 
The pigeon mistakes Alice for a serpent and is very defensive, fearing that Alice will eat her eggs. ",R_02,Serpent!,,"
In DaSCHland, the Pigeon is reimagined as a guardian of specific domains, particularly those involving airborne data streams and cloud storage within the digital landscape. Drawing from its role in ""Alice's Adventures in Wonderland,"" where it accuses Alice of being a serpent due to her unusual size changes, this version of the Pigeon retains its suspicious and somewhat confrontational demeanor but channels these traits into vigilance and security.

The Pigeon in DaSCHland is depicted as an aerial sentinel, constantly monitoring the skies and overseeing the transfer and integrity of data. It uses its enhanced vision and flight capabilities to patrol the digital environment, identifying and addressing potential threats or anomalies in the system. The Pigeon's role is crucial for maintaining the safety and order of the digital airspace, ensuring that all data transmissions are secure and unimpeded.

Interacting with the Pigeon provides Alice with insights into the complexities of data management and security within DaSCHland. The Pigeon's keen oversight and meticulous nature serve as a reminder of the continuous vigilance required to protect and sustain the digital world. Its interactions are often marked by a mix of caution and wisdom, educating Alice and others about the importance of safeguarding digital resources and the challenges involved in managing expansive virtual environments.",Packet-Pigeon,,"Animals, Anxiety, Surrealism, Imagination"
