ID,File Name,Copyright,License List,Authorship,Directory,Description,Description Alternative,Book ID,Chapter ID,Character ID,Seqnum,Limited View,URI DaSCH,Authorship Resource,File Path,Time Stamp,File Size
I_001,IMG_1book0.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,King and Queen of Hearts sitting on their throne in court,,BK_001,BCH_001,"CH_017, CH_006, CH_002, CH_035, CH_037",1,no,"https://iiif.rdu-08.dasch.swiss:443/0854/09bjeoll0B7-7N2E7SyicMB.jpx/full/562,800/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book0.jpg,,0.2
I_002,IMG_1book1.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,White Rabbit looking at his watch,,BK_001,BCH_002,CH_002,2,no,"https://iiif.rdu-08.dasch.swiss/0854/5n3odOtpZvy-l88zTITXasW.jpx/full/473,724/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book1.jpg,,0.1
I_003,IMG_1book2.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice finding a little door,,BK_001,BCH_002,CH_001,3,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3G6seftrpZT-DPBfnGBVulI.jpx/full/563,579/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book2.jpg,,0.1
I_004,IMG_1book3.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,"Alice holding the ""Drink Me"" bottle",,BK_001,BCH_002,CH_001,4,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5vTb5Lyp8qW-RRh7Q1ljKUQ.jpx/full/489,696/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book3.jpg,,0.1
I_005,IMG_1book4.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice growing taller,,BK_001,BCH_003,CH_001,5,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0Fj9QbAQisd-igcE71wKj4K.jpx/full/559,1256/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book4.jpg,,0.2
I_006,IMG_1book5.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,White Rabbit skurrying away from Alice,,BK_001,BCH_003,"CH_002, CH_001",6,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3smOiqDQ9DN-sup6KNZyA2V.jpx/full/863,1015/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book5.jpg,,0.3
I_007,IMG_1book6.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice swimming in the Pool of tears,,BK_001,BCH_003,CH_001,7,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0pzUqRgVt0Y-L5tFvUUNlUi.jpx/full/602,494/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book6.jpg,,0.1
I_008,IMG_1book7.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice and the Mouse swimming in the Pool of tears,,BK_001,BCH_003,"CH_001, CH_014",8,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1eEWop1EHTS-kOI3Wwa09Qq.jpx/full/864,574/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book7.jpg,,0.2
I_010,IMG_1book8.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Mouse telling its tale to Alice and creatures,,BK_001,BCH_004,"CH_014, CH_001, CH_015",9,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1RYuDHP1557-2hazsP3NR7M.jpx/full/853,657/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book8.jpg,,0.2
I_009,IMG_1book9.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice accepting a thimble from Dodo,,BK_001,BCH_004,"CH_001, CH_015",10,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0rJGrIFZqlz-B4VYqLtkesr.jpx/full/793,906/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book9.jpg,,0.3
I_011,IMG_1book10.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice outgrowing White Rabbit's house,,BK_001,BCH_005,CH_001,11,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5F4SRuS5Uqg-LMrPqBzfpu0.jpx/full/850,603/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book10.jpg,,0.3
I_012,IMG_1book11.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice's hand reaching for White Rabbit,,BK_001,BCH_005,"CH_001, CH_002",12,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3KI29IdAOKc-c3Se0M19M0K.jpx/full/496,729/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book11.jpg,,0.1
I_013,IMG_1book12.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Bill the lizzard rocketting out of the chimney,,BK_001,BCH_005,CH_027,13,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4Xuhkpoh6vZ-ImaCJgCvBcP.jpx/full/457,1228/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book12.jpg,,0.2
I_014,IMG_1book13.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,The puppy looking at Alice,,BK_001,BCH_005,"CH_028, CH_001",14,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0c7M59VEvKx-JNKFTf1qsJ8.jpx/full/859,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book13.jpg,,0.3
I_015,IMG_1book14.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Caterpillar questionning Alice,,BK_001,BCH_006,"CH_003, CH_001",15,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1tWu7OgJ0aF-advmZieukrF.jpx/full/669,895/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book14.jpg,,0.2
I_016,IMG_1book15.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Father William standing on his head,,BK_001,BCH_006,CH_038,16,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0dBLw6TfIAT-HWqZyqqz3Qd.jpx/full/857,648/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book15.jpg,,0.2
I_017,IMG_1book16.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Father William turning a back-sommersault,,BK_001,BCH_006,CH_038,17,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2X5pV7NIVnZ-Om3WW08rBgB.jpx/full/851,646/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book16.jpg,,0.3
I_018,IMG_1book17.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Father William sitting at a table,,BK_001,BCH_006,CH_038,18,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5qk7DTyNBnW-iNGRTfmyEBr.jpx/full/850,648/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book17.jpg,,0.2
I_019,IMG_1book18.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Father William balancing an eel,,BK_001,BCH_006,CH_038,19,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4eUiO3JLwne-p5swdDWoF5U.jpx/full/855,647/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book18.jpg,,0.2
I_020,IMG_1book19.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Frog-Footman and Fish-Footman holding an invitation,,BK_001,BCH_007,CH_030,20,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3zu9GoOXuWu-Kf9QmVPS5d8.jpx/full/714,878/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book19.jpg,,0.3
I_021,IMG_1book20.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Dutchess nursing the baby,,BK_001,BCH_007,"CH_008, CH_032, CH_001, CH_033, CH_005",21,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7m6YMI26U46-dmIJdPM4rns.jpx/full/854,711/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book20.jpg,,0.3
I_022,IMG_1book21.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice holding the pig baby,,BK_001,BCH_007,"CH_001, CH_032",22,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7R70eezrjYH-Kj6DqU883vG.jpx/full/487,729/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book21.jpg,,0.1
I_023,IMG_1book22.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Cheshire-Cat grinning at Alice,,BK_001,BCH_007,"CH_005, CH_001",23,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0imp6owKpZo-mSR5NiponF8.jpx/full/863,1251/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book22.jpg,,0.3
I_024,IMG_1book23.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Cheshire-Cat disappearing,,BK_001,BCH_007,CH_005,24,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5sESN9wsGRg-kQfkzTuxFed.jpx/full/846,548/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book23.jpg,,0.2
I_025,IMG_1book24.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice sitting at a mad tea-party,,BK_001,BCH_008,"CH_001, CH_018, CH_004, CH_007",25,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7c1FP62D4lR-uplQYcj8wPn.jpx/full/862,658/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book24.jpg,,0.2
I_026,IMG_1book25.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Hatter singing,,BK_001,BCH_008,"CH_004, CH_018",26,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6GyjS99Mr2Z-VFzceyhsOIu.jpx/full/472,539/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book25.jpg,,0.1
I_027,IMG_1book26.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Dormouse being put in a teapot,,BK_001,BCH_008,"CH_018, CH_004, CH_007",27,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4GfW8QKV0Ln-BG4HSjFww5A.jpx/full/680,596/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book26.jpg,,0.1
I_028,IMG_1book27.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Card-gardeners painting roses,,BK_001,BCH_009,CH_035,28,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6s9ugUGS4zz-dnoLMeyytq9.jpx/full/541,755/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book27.jpg,,0.1
I_029,IMG_1book28.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Queen of Hearts pointing at Alice,,BK_001,BCH_009,"CH_006, CH_001, CH_017",29,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6JcuTiVX1pp-LjbJsHeHrFU.jpx/full/858,1019/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book28.jpg,,0.4
I_030,IMG_1book29.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice holding her Flamingo,,BK_001,BCH_009,"CH_001, CH_036",30,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7CoeMyaDN58-5vCKRGEKm5j.jpx/full/473,689/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book29.jpg,,0.1
I_031,IMG_1book30.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Executioners and crowd collecting round Cheshire-Cat,,BK_001,BCH_009,"CH_005, CH_006, CH_017, CH_002",31,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4MdlmPTONaj-Zod0iPTaOvn.jpx/full/714,919/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book30.jpg,,0.3
I_032,IMG_1book31.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice and Duchess walking,,BK_001,BCH_010,"CH_001, CH_008, CH_036",32,no,"https://iiif.rdu-08.dasch.swiss:443/0854/05qAWprY9IP-rI7HY043Sdj.jpx/full/577,859/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book31.jpg,,0.2
I_033,IMG_1book32.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Gryphon sleeping,,BK_001,BCH_010,CH_010,33,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2aYc3yqAUBO-i4Mbj5kLao1.jpx/full/846,591/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book32.jpg,,0.2
I_034,IMG_1book33.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Mock Turtle telling his story to Gryphon and Alice,,BK_001,BCH_010,"CH_009, CH_001, CH_010",34,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3kbOH2D1iQP-jdxX12q8Ojb.jpx/full/849,1018/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book33.jpg,,0.3
I_035,IMG_1book34.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Mock Turtle and Gryphon dancing round Alice,,BK_001,BCH_010,"CH_009, CH_001, CH_010",35,no,"https://iiif.rdu-08.dasch.swiss:443/0854/01U0IHDDIPG-hoo6gScFhdU.jpx/full/709,849/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book34.jpg,,0.2
I_036,IMG_1book35.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Lobster turning out his toes ,,BK_001,BCH_011,CH_039,36,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3bonc5QCxLI-PctkPxp8JFw.jpx/full/500,869/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book35.jpg,,0.2
I_037,IMG_1book36.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,White Rabbit as herald blowing a trumpet,,BK_001,BCH_012,CH_002,37,no,"https://iiif.rdu-08.dasch.swiss/0854/68wzca4arPJ-x57imXRKvVF.jpx/full/520,760/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book36.jpg,,0.1
I_038,IMG_1book37.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Hatter shaking off his shoes,,BK_001,BCH_012,CH_004,38,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2J624xaXkZ5-Ai88xkXtmn5.jpx/full/482,678/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book37.jpg,,0.1
I_039,IMG_1book38.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Hatter running,,BK_001,BCH_012,CH_004,39,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5LumZ4WsK8f-8hJw0yYSbB9.jpx/full/679,554/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book38.jpg,,0.1
I_040,IMG_1book39.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice tipping over the jury-box,,BK_001,BCH_013,"CH_001, CH_037",40,no,"https://iiif.rdu-08.dasch.swiss:443/0854/77BV0GsdyNM-6XIlFNnoTAp.jpx/full/840,1020/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book39.jpg,,0.3
I_041,IMG_1book40.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,King of Hearts pointing to the tarts in court,,BK_001,BCH_013,"CH_017, CH_037",41,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4d999JqAt3m-Yxzbd9NFVM4.jpx/full/816,1075/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book40.jpg,,0.3
I_042,IMG_1book41.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Cards flying down upon Alice,,BK_001,BCH_013,CH_001,42,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2MhXG5mSS74-wiw46ZDf5Gf.jpx/full/836,1120/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_1book41.jpg,,0.3
I_043,IMG_2book0.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,White knight riding his horse,,BK_002,BCH_015,"CH_013, CH_001",43,no,"https://iiif.rdu-08.dasch.swiss/0854/3JlqNbDve2u-TAknAb0cbkp.jpx/full/686,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book0.jpg,,0.4
I_044,IMG_2book1.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Black kitten playing,,BK_002,BCH_017,CH_040,44,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4XeF5QaaSoI-Cwgk7glSlUe.jpx/full/1024,652/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book1.jpg,,0.2
I_045,IMG_2book2.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice winding worsted in an arm-chair,,BK_002,BCH_017,"CH_001, CH_040",45,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4WOm1BdhZ3r-0l9PrJWJU8C.jpx/full/880,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book2.jpg,,0.4
I_046,IMG_2book3.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice going through the looking-glass,,BK_002,BCH_017,CH_001,46,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0IsMLvOx84Q-1ZvBWsAqCfS.jpx/full/807,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book3.jpg,,0.3
I_047,IMG_2book4.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice coming through the looking-glass,,BK_002,BCH_017,CH_001,47,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7jsF4SFSaPU-O8OpyBSsbDr.jpx/full/825,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book4.jpg,,0.3
I_048,IMG_2book5.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Chessmen walking,,BK_002,BCH_017,CH_041,48,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5ttJtoSoQv9-CUOL2iNzrPl.jpx/full/1024,802/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book5.jpg,,0.4
I_049,IMG_2book6.jpg,Public Domain,Public Domain,John Tenniel,data/multimedia/image/,Alice picking up White King,,BK_002,BCH_017,"CH_001, CH_042",49,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6a9hRdYe39R-E21JhCLBYnN.jpx/full/1024,963/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",data/multimedia/image/IMG_2book6.jpg,,0.3
