ID,File Name,Copyright,License List,Authorship,Description,Description Alternative,Story ID,Chapter ID,Character ID,Seqnum,Limited View,URI DaSCH,Authorship Resource,Multimedia Folder,Time Stamp,File Size
I_001,IMG_1book0.jpg,Public Domain,Public Domain,John Tenniel,King and Queen of Hearts sitting on their throne in court,,ST_001,SCH_001,"CH_017, CH_006, CH_002, CH_035, CH_037",1,no,"https://iiif.rdu-08.dasch.swiss:443/0854/09bjeoll0B7-7N2E7SyicMB.jpx/full/562,800/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_002,IMG_1book1.jpg,Public Domain,Public Domain,John Tenniel,White Rabbit looking at his watch,,ST_001,SCH_002,CH_002,2,no,"https://iiif.rdu-08.dasch.swiss/0854/5n3odOtpZvy-l88zTITXasW.jpx/full/473,724/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_003,IMG_1book2.jpg,Public Domain,Public Domain,John Tenniel,Alice finding a little door,,ST_001,SCH_002,CH_001,3,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3G6seftrpZT-DPBfnGBVulI.jpx/full/563,579/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_004,IMG_1book3.jpg,Public Domain,Public Domain,John Tenniel,"Alice holding the ""Drink Me"" bottle",,ST_001,SCH_002,CH_001,4,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5vTb5Lyp8qW-RRh7Q1ljKUQ.jpx/full/489,696/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_005,IMG_1book4.jpg,Public Domain,Public Domain,John Tenniel,Alice growing taller,,ST_001,SCH_003,CH_001,5,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0Fj9QbAQisd-igcE71wKj4K.jpx/full/559,1256/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_006,IMG_1book5.jpg,Public Domain,Public Domain,John Tenniel,White Rabbit skurrying away from Alice,,ST_001,SCH_003,"CH_002, CH_001",6,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3smOiqDQ9DN-sup6KNZyA2V.jpx/full/863,1015/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_007,IMG_1book6.jpg,Public Domain,Public Domain,John Tenniel,Alice swimming in the Pool of tears,,ST_001,SCH_003,CH_001,7,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0pzUqRgVt0Y-L5tFvUUNlUi.jpx/full/602,494/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_008,IMG_1book7.jpg,Public Domain,Public Domain,John Tenniel,Alice and the Mouse swimming in the Pool of tears,,ST_001,SCH_003,"CH_001, CH_014",8,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1eEWop1EHTS-kOI3Wwa09Qq.jpx/full/864,574/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_010,IMG_1book8.jpg,Public Domain,Public Domain,John Tenniel,Mouse telling its tale to Alice and creatures,,ST_001,SCH_004,"CH_014, CH_001, CH_015",9,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1RYuDHP1557-2hazsP3NR7M.jpx/full/853,657/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_009,IMG_1book9.jpg,Public Domain,Public Domain,John Tenniel,Alice accepting a thimble from Dodo,,ST_001,SCH_004,"CH_001, CH_015",10,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0rJGrIFZqlz-B4VYqLtkesr.jpx/full/793,906/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_011,IMG_1book10.jpg,Public Domain,Public Domain,John Tenniel,Alice outgrowing White Rabbit's house,,ST_001,SCH_005,CH_001,11,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5F4SRuS5Uqg-LMrPqBzfpu0.jpx/full/850,603/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_012,IMG_1book11.jpg,Public Domain,Public Domain,John Tenniel,Alice's hand reaching for White Rabbit,,ST_001,SCH_005,"CH_001, CH_002",12,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3KI29IdAOKc-c3Se0M19M0K.jpx/full/496,729/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_013,IMG_1book12.jpg,Public Domain,Public Domain,John Tenniel,Bill the lizzard rocketting out of the chimney,,ST_001,SCH_005,CH_027,13,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4Xuhkpoh6vZ-ImaCJgCvBcP.jpx/full/457,1228/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_014,IMG_1book13.jpg,Public Domain,Public Domain,John Tenniel,The puppy looking at Alice,,ST_001,SCH_005,"CH_028, CH_001",14,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0c7M59VEvKx-JNKFTf1qsJ8.jpx/full/859,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_015,IMG_1book14.jpg,Public Domain,Public Domain,John Tenniel,Caterpillar questionning Alice,,ST_001,SCH_006,"CH_003, CH_001",15,no,"https://iiif.rdu-08.dasch.swiss:443/0854/1tWu7OgJ0aF-advmZieukrF.jpx/full/669,895/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_016,IMG_1book15.jpg,Public Domain,Public Domain,John Tenniel,Father William standing on his head,,ST_001,SCH_006,CH_038,16,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0dBLw6TfIAT-HWqZyqqz3Qd.jpx/full/857,648/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_017,IMG_1book16.jpg,Public Domain,Public Domain,John Tenniel,Father William turning a back-sommersault,,ST_001,SCH_006,CH_038,17,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2X5pV7NIVnZ-Om3WW08rBgB.jpx/full/851,646/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_018,IMG_1book17.jpg,Public Domain,Public Domain,John Tenniel,Father William sitting at a table,,ST_001,SCH_006,CH_038,18,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5qk7DTyNBnW-iNGRTfmyEBr.jpx/full/850,648/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_019,IMG_1book18.jpg,Public Domain,Public Domain,John Tenniel,Father William balancing an eel,,ST_001,SCH_006,CH_038,19,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4eUiO3JLwne-p5swdDWoF5U.jpx/full/855,647/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_020,IMG_1book19.jpg,Public Domain,Public Domain,John Tenniel,Frog-Footman and Fish-Footman holding an invitation,,ST_001,SCH_007,CH_030,20,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3zu9GoOXuWu-Kf9QmVPS5d8.jpx/full/714,878/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_021,IMG_1book20.jpg,Public Domain,Public Domain,John Tenniel,Dutchess nursing the baby,,ST_001,SCH_007,"CH_008, CH_032, CH_001, CH_033, CH_005",21,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7m6YMI26U46-dmIJdPM4rns.jpx/full/854,711/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_022,IMG_1book21.jpg,Public Domain,Public Domain,John Tenniel,Alice holding the pig baby,,ST_001,SCH_007,"CH_001, CH_032",22,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7R70eezrjYH-Kj6DqU883vG.jpx/full/487,729/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_023,IMG_1book22.jpg,Public Domain,Public Domain,John Tenniel,Cheshire Cat grinning at Alice,,ST_001,SCH_007,"CH_005, CH_001",23,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0imp6owKpZo-mSR5NiponF8.jpx/full/863,1251/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_024,IMG_1book23.jpg,Public Domain,Public Domain,John Tenniel,Cheshire Cat disappearing,,ST_001,SCH_007,CH_005,24,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5sESN9wsGRg-kQfkzTuxFed.jpx/full/846,548/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_025,IMG_1book24.jpg,Public Domain,Public Domain,John Tenniel,Alice sitting at a mad tea-party,,ST_001,SCH_008,"CH_001, CH_018, CH_004, CH_007",25,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7c1FP62D4lR-uplQYcj8wPn.jpx/full/862,658/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_026,IMG_1book25.jpg,Public Domain,Public Domain,John Tenniel,Hatter singing,,ST_001,SCH_008,"CH_004, CH_018",26,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6GyjS99Mr2Z-VFzceyhsOIu.jpx/full/472,539/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_027,IMG_1book26.jpg,Public Domain,Public Domain,John Tenniel,Dormouse being put in a teapot,,ST_001,SCH_008,"CH_018, CH_004, CH_007",27,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4GfW8QKV0Ln-BG4HSjFww5A.jpx/full/680,596/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_028,IMG_1book27.jpg,Public Domain,Public Domain,John Tenniel,Card-gardeners painting roses,,ST_001,SCH_009,CH_035,28,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6s9ugUGS4zz-dnoLMeyytq9.jpx/full/541,755/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_029,IMG_1book28.jpg,Public Domain,Public Domain,John Tenniel,Queen of Hearts pointing at Alice,,ST_001,SCH_009,"CH_006, CH_001, CH_017",29,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6JcuTiVX1pp-LjbJsHeHrFU.jpx/full/858,1019/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.4
I_030,IMG_1book29.jpg,Public Domain,Public Domain,John Tenniel,Alice holding her Flamingo,,ST_001,SCH_009,"CH_001, CH_036",30,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7CoeMyaDN58-5vCKRGEKm5j.jpx/full/473,689/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_031,IMG_1book30.jpg,Public Domain,Public Domain,John Tenniel,Executioners and crowd collecting round Cheshire Cat,,ST_001,SCH_009,"CH_005, CH_006, CH_017, CH_002",31,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4MdlmPTONaj-Zod0iPTaOvn.jpx/full/714,919/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_032,IMG_1book31.jpg,Public Domain,Public Domain,John Tenniel,Alice and Duchess walking,,ST_001,SCH_010,"CH_001, CH_008, CH_036",32,no,"https://iiif.rdu-08.dasch.swiss:443/0854/05qAWprY9IP-rI7HY043Sdj.jpx/full/577,859/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_033,IMG_1book32.jpg,Public Domain,Public Domain,John Tenniel,Gryphon sleeping,,ST_001,SCH_010,CH_010,33,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2aYc3yqAUBO-i4Mbj5kLao1.jpx/full/846,591/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_034,IMG_1book33.jpg,Public Domain,Public Domain,John Tenniel,Mock Turtle telling his story to Gryphon and Alice,,ST_001,SCH_010,"CH_009, CH_001, CH_010",34,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3kbOH2D1iQP-jdxX12q8Ojb.jpx/full/849,1018/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_035,IMG_1book34.jpg,Public Domain,Public Domain,John Tenniel,Mock Turtle and Gryphon dancing round Alice,,ST_001,SCH_010,"CH_009, CH_001, CH_010",35,no,"https://iiif.rdu-08.dasch.swiss:443/0854/01U0IHDDIPG-hoo6gScFhdU.jpx/full/709,849/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_036,IMG_1book35.jpg,Public Domain,Public Domain,John Tenniel,Lobster turning out his toes ,,ST_001,SCH_011,CH_039,36,no,"https://iiif.rdu-08.dasch.swiss:443/0854/3bonc5QCxLI-PctkPxp8JFw.jpx/full/500,869/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.2
I_037,IMG_1book36.jpg,Public Domain,Public Domain,John Tenniel,White Rabbit as herald blowing a trumpet,,ST_001,SCH_012,CH_002,37,no,"https://iiif.rdu-08.dasch.swiss/0854/68wzca4arPJ-x57imXRKvVF.jpx/full/520,760/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_038,IMG_1book37.jpg,Public Domain,Public Domain,John Tenniel,Hatter shaking off his shoes,,ST_001,SCH_012,CH_004,38,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2J624xaXkZ5-Ai88xkXtmn5.jpx/full/482,678/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_039,IMG_1book38.jpg,Public Domain,Public Domain,John Tenniel,Hatter running,,ST_001,SCH_012,CH_004,39,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5LumZ4WsK8f-8hJw0yYSbB9.jpx/full/679,554/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.1
I_040,IMG_1book39.jpg,Public Domain,Public Domain,John Tenniel,Alice tipping over the jury-box,,ST_001,SCH_013,"CH_001, CH_037",40,no,"https://iiif.rdu-08.dasch.swiss:443/0854/77BV0GsdyNM-6XIlFNnoTAp.jpx/full/840,1020/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_041,IMG_1book40.jpg,Public Domain,Public Domain,John Tenniel,King of Hearts pointing to the tarts in court,,ST_001,SCH_013,"CH_017, CH_037",41,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4d999JqAt3m-Yxzbd9NFVM4.jpx/full/816,1075/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_042,IMG_1book41.jpg,Public Domain,Public Domain,John Tenniel,Cards flying down upon Alice,,ST_001,SCH_013,CH_001,42,no,"https://iiif.rdu-08.dasch.swiss:443/0854/2MhXG5mSS74-wiw46ZDf5Gf.jpx/full/836,1120/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,,0.3
I_043,IMG_2book0.jpg,Public Domain,Public Domain,John Tenniel,White knight riding his horse,,ST_002,SCH_015,"CH_013, CH_001",43,no,"https://iiif.rdu-08.dasch.swiss/0854/3JlqNbDve2u-TAknAb0cbkp.jpx/full/686,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:33:38-00:00,0.4
I_044,IMG_2book1.jpg,Public Domain,Public Domain,John Tenniel,Black kitten playing,,ST_002,SCH_017,CH_040,44,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4XeF5QaaSoI-Cwgk7glSlUe.jpx/full/1024,652/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:35:42-00:00,0.2
I_045,IMG_2book2.jpg,Public Domain,Public Domain,John Tenniel,Alice winding worsted in an arm-chair,,ST_002,SCH_017,"CH_001, CH_040",45,no,"https://iiif.rdu-08.dasch.swiss:443/0854/4WOm1BdhZ3r-0l9PrJWJU8C.jpx/full/880,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:38:55-00:00,0.4
I_046,IMG_2book3.jpg,Public Domain,Public Domain,John Tenniel,Alice going through the looking-glass,,ST_002,SCH_017,CH_001,46,no,"https://iiif.rdu-08.dasch.swiss:443/0854/0IsMLvOx84Q-1ZvBWsAqCfS.jpx/full/807,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:39:35-00:00,0.3
I_047,IMG_2book4.jpg,Public Domain,Public Domain,John Tenniel,Alice coming through the looking-glass,,ST_002,SCH_017,CH_001,47,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7jsF4SFSaPU-O8OpyBSsbDr.jpx/full/825,1024/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:41:23-00:00,0.3
I_048,IMG_2book5.jpg,Public Domain,Public Domain,John Tenniel,Chessmen walking,,ST_002,SCH_017,CH_041,48,no,"https://iiif.rdu-08.dasch.swiss:443/0854/5ttJtoSoQv9-CUOL2iNzrPl.jpx/full/1024,802/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:42:30-00:00,0.4
I_049,IMG_2book6.jpg,Public Domain,Public Domain,John Tenniel,Alice picking up White King,,ST_002,SCH_017,"CH_001, CH_042",49,no,"https://iiif.rdu-08.dasch.swiss:443/0854/6a9hRdYe39R-E21JhCLBYnN.jpx/full/1024,963/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:43:21-00:00,0.3
I_050,IMG_2book7.jpg,Public Domain,Public Domain,John Tenniel,The White Knight sliding down a poker,,ST_002,SCH_017,CH_013,50,no,"https://iiif.rdu-08.dasch.swiss:443/0854/7IJFYuIdQXO-vLZZgcVeJ6O.jpx/full/761,907/0/default.jpg","Noémi Villars-Amberg, Daniela Subotic",image,2008-08-11T21:45:07-00:00,0.2
